排名,特征,SHAP均值
1,光照时长h,0.319741
2,溶氧_有效,0.19849999
3,最高湿度%,0.16278045
4,光照_峰值,0.14657064
5,气温_std,0.1303076
6,气温_日均_roll7d_mean,0.124403626
7,湿度_日均_roll7d_mean,0.12222857
8,最高水温℃,0.11951806
9,水温_std,0.11351054
10,pinn_P_photo,0.11329895
11,最高气温℃,0.09718409
12,DLI_approx,0.089856885
13,水温_日均_roll7d_std,0.08896718
14,DO_volatility,0.0756619
15,水气温差,0.068073
16,最低气温℃,0.06723065
17,湿度_日均_roll7d_std,0.060657352
18,湿度_std,0.056321062
19,湿度_日均_roll3d_mean,0.05515096
20,水温_日均_roll7d_mean,0.0503689
21,气温_日较差,0.0499144
22,气温_日均_roll3d_mean,0.04684956
23,气温_日均_lag3d,0.046655823
24,水温_日均_lag3d,0.045487653
25,水温_变化率,0.044513244
26,水温_日均_roll3d_std,0.04376833
27,最低湿度%,0.04076033
28,气温_日均_roll7d_std,0.040325914
29,湿度_日均_lag3d,0.03914063
30,气温_日均_lag1d,0.038709275
31,湿度_日均_lag1d,0.03311009
32,气温_日均_roll3d_std,0.03278118
33,湿度_日均_roll3d_std,0.032423377
34,溶氧mg/L,0.031708483
35,湿度_变化率,0.03170074
36,气温_日均,0.02866622
37,湿度_日均,0.028344754
38,气温_变化率,0.023036607
39,水温_日均_roll3d_mean,0.02222998
40,水温_日均,0.022066005
41,pinn_oxygen_stress,0.021960901
42,DO_亏损,0.021545693
43,水气温_交互,0.02115936
44,高温天数_7d,0.020620465
45,水温_日较差,0.019611306
46,DO_饱和度_理论,0.019385383
47,pinn_DO_deficit,0.018253949
48,trend_水温_3d,0.01814601
49,水温_日均_lag1d,0.017612357
50,pinn_DO_sat_ratio,0.0155819515
51,最低水温℃,0.015170966
52,水温波动_加速度,0.015144324
53,EC_有效,0.0137406485
54,DO_饱和比,0.011851951
55,PH,0.011264171
56,pinn_DO_margin,0.010172263
57,溶氧_变化率,0.010106958
58,水温_偏离适宜,0.0076373545
59,EC值ms/cm,0.007239018
60,亚盐mg/L,0.006741655
61,pinn_reaeration,0.0029397747
62,氨氮mg/L,0.002486374
63,pinn_R_fish_T,0.0010793215
64,PH_有效,0.00048118777
65,亚盐_有效,0.0
66,氨氮_变化率,0.0
67,氨氮_有效,0.0
68,低氧天数_7d,0.0
69,PH_变化率,0.0
